"Age","kmDriven","Transmission","Owner","FuelType","AskPrice","LogAskPrice","isLuxury","kmPerYear","Brand_model"
11,38000,2,1,3,292000,12.5845090812504,0,3454.54545454545,386
13,95000,1,2,3,280000,12.5425448821514,0,7307.69230769231,74
12,72000,2,1,3,165000,12.0137007528827,0,6000,72
8,135000,2,2,1,875000,13.6819791653398,0,16875,199
12,135000,2,2,1,395000,12.8866410438833,0,11250,360
5,149728.625,2,1,1,695000,13.4516671245469,0,29945.725,386
2,14000,1,1,1,1875000,14.4441192173866,0,7000,327
4,50200,1,1,3,1300000,14.0778748224318,0,12550,135
10,47000,2,1,3,255000,12.4490188241406,0,4700,186
13,59600,2,2,3,210000,12.2548628096996,0,4584.61538461538,74
14,8000,1,2,3,185000,12.1281111040605,0,571.428571428571,213
1,30000,2,1,3,675000,13.4224679698547,0,30000,226
7,54000,1,2,3,365000,12.8076526325646,0,7714.28571428571,306
26,80000,2,2,3,75000,11.2252433925184,0,3076.92307692308,212
13,1e+05,1,2,1,295000,12.594730635322,0,7692.30769230769,36
7,48000,1,1,1,1199999,13.9978312814245,0,6857.14285714286,178
11,149728.625,1,2,1,410000,12.9239124386805,0,13611.6931818182,118
8,63000,2,2,3,650000,13.3847276418718,0,7875,90
10,149728.625,1,2,1,1445000,14.1836198795287,0,14972.8625,363
6,62000,2,1,3,695000,13.4516671245469,0,10333.3333333333,74
3,56001,1,1,1,1125000,13.9332935936207,0,18667,71
7,25000,2,1,1,1565000,14.2633963819564,0,3571.42857142857,366
9,68001,2,2,3,444000,13.0035798414144,0,7555.66666666667,81
11,72000,2,1,1,345000,12.7512996960135,0,6545.45454545455,310
5,50000,1,2,1,2675000,14.7994599383122,1,10000,19
8,95000,2,2,3,535000,13.1900220258781,0,11875,74
3,39000,1,1,3,465000,13.0497926845695,0,13000,216
11,60000,2,2,1,695000,13.4516671245469,0,5454.54545454545,178
7,72315,1,2,1,1035000,13.8499119846816,0,10330.7142857143,115
10,82000,1,2,3,390000,12.8739020181058,0,8200,118
5,85000,1,2,3,280000,12.5425448821514,0,17000,185
8,64000,1,1,1,1245000,14.0346460878809,0,8000,110
8,68500,2,2,3,440000,12.9945300058944,0,8562.5,119
2,44000,1,1,3,780000,13.5670491986658,0,22000,197
5,59000,2,1,3,540000,13.1993244185405,0,11800,218
2,32000,1,1,3,1275000,14.0584567365747,0,16000,266
10,45000,1,2,1,1200000,13.9978321147582,1,4500,12
8,130000,1,2,3,525000,13.1711535415738,0,16250,386
7,112000,1,1,1,1551111,14.254482006329,0,16000,366
10,32000,1,2,1,1900000,14.4573644441367,0,3200,274
7,78537,1,1,3,375000,12.8346813049525,0,11219.5714285714,306
6,70673,1,1,1,775000,13.5606183083355,0,11778.8333333333,386
6,39848,2,1,3,479931,13.0813976225511,0,6641.33333333333,190
8,77000,1,1,1,1500000,14.2209756660724,1,9625,10
16,111400,2,2,3,150000,11.9183905730784,0,6962.5,185
7,30000,1,2,1,3495000,15.06684393365,0,4285.71428571429,363
9,82000,1,2,1,325000,12.6915804613119,0,9111.11111111111,319
11,89000,2,2,1,361000,12.796633237315,0,8090.90909090909,219
9,149728.625,1,1,1,1550000,14.2537654888954,0,16636.5138888889,363
7,65110,2,1,1,695000,13.4516671245469,0,9301.42857142857,328
2,25000,2,1,3,1375000,14.1339642890828,0,12500,91
10,115000,1,1,1,1500000,14.2209756660724,1,11500,24
9,64000,2,1,3,574999,13.2621235806475,0,7111.11111111111,81
11,61000,1,1,3,415000,12.9360337992128,0,5545.45454545455,380
10,54000,1,2,3,479000,13.0794558763931,0,5400,100
4,149728.625,2,1,3,840000,13.6411571708195,0,37432.15625,196
2,25000,1,1,1,2600000,14.7710220029917,0,12500,366
9,103000,1,2,3,360000,12.7938593104323,0,11444.4444444444,193
2,14000,1,1,3,1550000,14.2537654888954,0,7000,171
9,56000,2,1,3,235000,12.3673407931263,0,6222.22222222222,324
8,47000,1,2,1,2500000,14.7318012898384,1,5875,20
11,97763,1,2,1,1550000,14.2537654888954,0,8887.54545454545,128
3,74000,2,2,3,515000,13.1519221796459,0,24666.6666666667,349
9,50000,2,2,3,385000,12.8609986132699,0,5555.55555555556,72
